Ingenuity Canonical Pathways, -log(p-value),Ratio,z-score,Molecules
Osteoarthritis Pathway,3.99,0.0521,1.265,"ADAMTS4,CCN4,DCN,EPAS1,FRZB,H19,NOS2,PPARGC1A,PTHLH,SPP1,TNFRSF1B"
Breast Cancer Regulation by Stathmin1,3.56,0.0321,#NUM!,"ADGRA1,ADGRB3,ADGRG7,ADRB1,C5AR1,CNR1,EDNRB,GALR1,GPR139,GPR37,HRH2,LPAR4,LTB4R2,OXTR,PDGFB,RASD2,SHC1,SSTR2,TUBA4A"
Notch Signaling,2.89,0.108,#NUM!,"DLL1,DLL3,HES5,MFNG"
The Visual Cycle,2.68,0.15,#NUM!,"RDH5,RLBP1,RPE65"
Oncostatin M Signaling,2.64,0.093,#NUM!,"CHI3L1,EPAS1,RASD2,SHC1"
Hepatic Cholestasis,2.53,0.0432,#NUM!,"ABCC3,ADCY2,ADCY8,ATP8B1,IRAK2,LIF,LY96,TNFRSF1B"
Adrenomedullin signaling pathway,2.37,0.0406,0,"ADCY2,ADCY8,GPR37,MAP2K6,MYLK3,RASD2,SHC1,TFAP2C"
PDGF Signaling,2.28,0.0581,1,"CAV1,INPP5D,PDGFB,RASD2,SHC1"
Gαi Signaling,2.24,0.048,1,"ADCY2,ADCY8,CAV1,CNR1,RASD2,SHC1"
Integrin Signaling,2.17,0.0376,2.646,"CAV1,ITGAX,ITGB4,MYLK3,PAK6,PDGFB,RASD2,SHC1"
Prostanoid Biosynthesis,2.15,0.2,#NUM!,"PTGDS,PTGES"
"Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis",2.11,0.0321,#NUM!,"ADAMTS4,C5AR1,FRZB,IRAK2,MAP2K6,NOS2,PDGFB,RASD2,SFRP2,TNFRSF1B"
Synaptogenesis Signaling Pathway,2.11,0.0321,0.333,"ADCY2,ADCY8,CDH15,CDH5,CPLX1,CPLX2,NLGN1,RASD2,SHC1,THBS1"
Bladder Cancer Signaling,2.06,0.0515,#NUM!,"CDKN1A,FGF14,MMP16,RASD2,THBS1"
Acute Phase Response Signaling,2.05,0.0391,0,"CRABP1,MAP2K6,RASD2,SERPINA3,SHC1,TNFRSF1B,VWF"
Eicosanoid Signaling,1.97,0.0606,#NUM!,"LTB4R2,PLAAT4,PTGDS,PTGES"
Estrogen Receptor Signaling,1.97,0.0305,0.333,"ADCY2,ADCY8,CACNA1E,CAV1,CDKN1A,IGF2,MMP16,PPARGC1A,RASD2,SHC1"
Hepatic Fibrosis / Hepatic Stellate Cell Activation,1.96,0.0376,#NUM!,"COL8A2,COL9A1,EDNRB,IGF2,LY96,PDGFB,TNFRSF1B"
Endocannabinoid Cancer Inhibition Pathway,1.96,0.042,0,"ADCY2,ADCY8,CDKN1A,CNR1,MAP2K6,NOS2"
PPAR Signaling,1.94,0.0481,-1,"PDGFB,PPARGC1A,RASD2,SHC1,TNFRSF1B"
Endothelin-1 Signaling,1.94,0.0372,0.816,"ADCY2,ADCY8,EDNRB,NOS2,PLAAT4,RASD2,SHC1"
Xenobiotic Metabolism CAR Signaling Pathway,1.93,0.037,2.646,"ABCC3,ALDH3A1,CYP1A1,MAP2K6,NOS2,PPARGC1A,SULT1A1"
PPARα/RXRα Activation,1.92,0.0368,0,"ADCY2,ADCY8,GHR,MAP2K6,PPARGC1A,RASD2,SHC1"
Gαs Signaling,1.89,0.0467,1.342,"ADCY2,ADCY8,ADRB1,CNR1,HRH2"
Glioma Signaling,1.84,0.0455,#NUM!,"CDKN1A,IGF2,PDGFB,RASD2,SHC1"
Gap Junction Signaling,1.83,0.0354,#NUM!,"ADCY2,ADCY8,ADRB1,CAV1,GRIK2,RASD2,TUBA4A"
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell,1.83,0.0548,1,"ADCY2,ADCY8,ADRB1,GALR1"
FcγRIIB Signaling in B Lymphocytes,1.79,0.0533,#NUM!,"CACNA1E,INPP5D,RASD2,SHC1"
Endocannabinoid Developing Neuron Pathway,1.77,0.0435,0,"ADCY2,ADCY8,CNR1,MAP2K6,RASD2"
Renin-Angiotensin Signaling,1.73,0.0424,#NUM!,"ADCY2,ADCY8,PAK6,RASD2,SHC1"
iNOS Signaling,1.69,0.0667,#NUM!,"IRAK2,LY96,NOS2"
Th1 Pathway,1.68,0.0413,-1,"CD8A,DLL1,ICOSLG/LOC102723996,MAP2K6,TBX21"
G Beta Gamma Signaling,1.67,0.041,2,"ADCY2,CACNA1E,CAV1,RASD2,SHC1"
Role of NFAT in Cardiac Hypertrophy,1.66,0.0327,0.816,"ADCY2,ADCY8,CACNA1E,LIF,MAP2K6,RASD2,SHC1"
PTEN Signaling,1.62,0.0397,1,"CDKN1A,GHR,INPP5D,RASD2,SHC1"
GADD45 Signaling,1.61,0.105,#NUM!,"CDKN1A,GADD45G"
"Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis",1.6,0.0318,#NUM!,"ACP5,ADAMTS4,FRZB,MAP2K6,SFRP2,SPP1,TNFRSF1B"
GNRH Signaling,1.6,0.0347,0,"ADCY2,ADCY8,CACNA1E,MAP2K6,PAK6,RASD2"
Flavin Biosynthesis IV (Mammalian),1.59,0.5,#NUM!,RFK
White Adipose Tissue Browning Pathway,1.58,0.0388,0.447,"ADCY2,ADCY8,CACNA1E,PPARGC1A,PRDM16"
PI3K/AKT Signaling,1.57,0.0343,#NUM!,"CDKN1A,GDF15,GHR,INPP5D,RASD2,SHC1"
LPS/IL-1 Mediated Inhibition of RXR Function,1.57,0.0312,#NUM!,"ABCC3,ALDH3A1,APOC1,LY96,PPARGC1A,SULT1A1,TNFRSF1B"
Granulocyte Adhesion and Diapedesis,1.52,0.0333,#NUM!,"C5AR1,CDH5,CLDN4,HRH2,MMP16,TNFRSF1B"
IL-1 Signaling,1.51,0.044,#NUM!,"ADCY2,ADCY8,IRAK2,MAP2K6"
Melanocyte Development and Pigmentation Signaling,1.47,0.0426,#NUM!,"ADCY2,ADCY8,RASD2,SHC1"
ErbB Signaling,1.47,0.0426,#NUM!,"MAP2K6,PAK6,RASD2,SHC1"
Xenobiotic Metabolism Signaling,1.47,0.0279,#NUM!,"ABCC3,ALDH3A1,CYP1A1,MAP2K6,NOS2,PPARGC1A,RASD2,SULT1A1"
GABA Receptor Signaling,1.46,0.0421,#NUM!,"ADCY2,ADCY8,CACNA1E,GPR37"
PAK Signaling,1.43,0.0412,#NUM!,"PAK6,PDGFB,RASD2,SHC1"
L-serine Degradation,1.42,0.333,#NUM!,SDSL
p53 Signaling,1.41,0.0408,#NUM!,"CDKN1A,GADD45G,PERP,THBS1"
Corticotropin Releasing Hormone Signaling,1.39,0.0345,0.447,"ADCY2,ADCY8,CACNA1E,CNR1,NOS2"
Dermatan Sulfate Biosynthesis,1.39,0.0508,#NUM!,"DSEL,SULT1A1,XYLT1"
Retinoic acid Mediated Apoptosis Signaling,1.37,0.05,#NUM!,"CRABP1,PARP10,TNFRSF10D"
NAD Salvage Pathway II,1.35,0.0769,#NUM!,"ACP5,NT5E"
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses,1.3,0.0325,#NUM!,"C5AR1,LIF,NOD2,OAS1,OAS3"
Phenylethylamine Degradation I,1.29,0.25,#NUM!,AOC2
Hepatic Fibrosis Signaling Pathway,1.29,0.0245,2.333,"CACNA1E,CNR1,IRAK2,MAP2K6,MYLK3,PDGFB,RASD2,SPP1,TNFRSF1B"
CDK5 Signaling,1.28,0.037,#NUM!,"ADCY2,ADCY8,FOSB,RASD2"
Paxillin Signaling,1.28,0.037,#NUM!,"ITGAX,ITGB4,PAK6,RASD2"
CREB Signaling in Neurons,1.27,0.029,0,"ADCY2,ADCY8,CACNA1E,GRIK2,RASD2,SHC1"
Cardiac Hypertrophy Signaling (Enhanced),1.27,0.0226,0.632,"ADCY2,ADCY8,ADRB1,CACNA1E,EDNRB,FGF14,GHR,LIF,MAP2K6,RASD2,TNFRSF1B"
eNOS Signaling,1.25,0.0314,-0.447,"ADCY2,ADCY8,CAV1,CHRNA9,LPAR4"
Serotonin Degradation,1.25,0.0448,#NUM!,"ALDH3A1,DHRS2,SULT1A1"
Dopamine Degradation,1.24,0.0667,#NUM!,"ALDH3A1,SULT1A1"
Citrulline-Nitric Oxide Cycle,1.2,0.2,#NUM!,NOS2
Tyrosine Degradation I,1.2,0.2,#NUM!,HPD
Glioblastoma Multiforme Signaling,1.2,0.0303,0,"CDKN1A,IGF2,PDGFB,RASD2,SHC1"
Ethanol Degradation II,1.19,0.0625,#NUM!,"ALDH3A1,DHRS2"
G-Protein Coupled Receptor Signaling,1.19,0.0257,#NUM!,"ADCY2,ADCY8,ADRB1,CNR1,HRH2,RASD2,SHC1"
Actin Cytoskeleton Signaling,1.19,0.0275,#NUM!,"FGF14,MYLK3,PAK6,PDGFB,RASD2,SHC1"
Systemic Lupus Erythematosus In B Cell Signaling Pathway,1.17,0.0255,1.89,"IFIT2,INPP5D,LIF,PLAAT4,RASD2,SHC1,TMEM173"
Caveolar-mediated Endocytosis Signaling,1.16,0.0411,#NUM!,"CAV1,ITGAX,ITGB4"
T Helper Cell Differentiation,1.16,0.0411,#NUM!,"ICOSLG/LOC102723996,TBX21,TNFRSF1B"
Role of JAK2 in Hormone-like Cytokine Signaling,1.15,0.0588,#NUM!,"GHR,SHC1"
Th1 and Th2 Activation Pathway,1.14,0.0292,#NUM!,"CD8A,DLL1,ICOSLG/LOC102723996,MAP2K6,TBX21"
LXR/RXR Activation,1.14,0.0331,-1,"APOC1,LY96,NOS2,TNFRSF1B"
Coagulation System,1.12,0.0571,#NUM!,"PLAUR,VWF"
DNA Methylation and Transcriptional Repression Signaling,1.12,0.0571,#NUM!,"H4C11,H4C15"
Tryptophan Degradation to 2-amino-3-carboxymuconate Semialdehyde,1.12,0.167,#NUM!,TDO2
Noradrenaline and Adrenaline Degradation,1.12,0.0571,#NUM!,"ALDH3A1,DHRS2"
Toll-like Receptor Signaling,1.12,0.0395,#NUM!,"IRAK2,LY96,MAP2K6"
Neurotrophin/TRK Signaling,1.12,0.0395,#NUM!,"MAP2K6,RASD2,SHC1"
Macropinocytosis Signaling,1.12,0.0395,#NUM!,"ITGB4,PDGFB,RASD2"
Antiproliferative Role of Somatostatin Receptor 2,1.11,0.039,#NUM!,"CDKN1A,RASD2,SSTR2"
Interferon Signaling,1.1,0.0556,#NUM!,"IFIT1,OAS1"
IL-6 Signaling,1.1,0.032,#NUM!,"MAP2K6,RASD2,SHC1,TNFRSF1B"
Heparan Sulfate Biosynthesis,1.09,0.0385,#NUM!,"RPE65,SULT1A1,XYLT1"
Complement System,1.08,0.0541,#NUM!,"C5AR1,ITGAX"
IL-3 Signaling,1.08,0.038,#NUM!,"INPP5D,RASD2,SHC1"
Endocannabinoid Neuronal Synapse Pathway,1.07,0.0312,1,"ADCY2,ADCY8,CACNA1E,CNR1"
Sirtuin Signaling Pathway,1.07,0.0241,-0.378,"EPAS1,GADD45G,H1-2,H4C11,NOS2,PPARGC1A,TUBA4A"
IL-17 Signaling,1.07,0.0375,#NUM!,"MAP2K6,NOS2,RASD2"
FLT3 Signaling in Hematopoietic Progenitor Cells,1.07,0.0375,#NUM!,"INPP5D,RASD2,SHC1"
Renal Cell Carcinoma Signaling,1.07,0.0375,#NUM!,"PAK6,PDGFB,RASD2"
Role of MAPK Signaling in the Pathogenesis of Influenza,1.07,0.0375,#NUM!,"MAP2K6,PLAAT4,RASD2"
JAK/Stat Signaling,1.07,0.0375,#NUM!,"CDKN1A,RASD2,SHC1"
Glycoaminoglycan-protein Linkage Region Biosynthesis,1.06,0.143,#NUM!,XYLT1
Gα12/13 Signaling,1.05,0.0308,#NUM!,"CDH15,CDH5,LPAR4,RASD2"
Apelin Adipocyte Signaling Pathway,1.04,0.0366,#NUM!,"ADCY2,ADCY8,PPARGC1A"
Cellular Effects of Sildenafil (Viagra),1.04,0.0305,#NUM!,"ADCY2,ADCY8,CACNA1E,GPR37"
Cardiac Hypertrophy Signaling,1.03,0.025,0.447,"ADCY2,ADCY8,ADRB1,CACNA1E,MAP2K6,RASD2"
Sertoli Cell-Sertoli Cell Junction Signaling,1.03,0.027,#NUM!,"CLDN4,F11R,NOS2,RASD2,TUBA4A"
TR/RXR Activation,1.02,0.0357,#NUM!,"ADRB1,PPARGC1A,SLC16A3"
HER-2 Signaling in Breast Cancer,1.02,0.0357,#NUM!,"CDKN1A,ITGB4,RASD2"
VEGF Family Ligand-Receptor Interactions,1.02,0.0357,#NUM!,"NRP1,RASD2,SHC1"
IL-4 Signaling,1.01,0.0353,#NUM!,"INPP5D,RASD2,SHC1"
STAT3 Pathway,1.01,0.0296,#NUM!,"CDKN1A,GHR,PDGFB,RASD2"
Salvage Pathways of Pyrimidine Deoxyribonucleotides,1,0.125,#NUM!,APOBEC3B
Axonal Guidance Signaling,1,0.0207,#NUM!,"ADAMTS4,ADAMTS7,MMP16,NRP1,PAK6,PDGFB,RASD2,SEMA4A,SHC1,TUBA4A"
MIF Regulation of Innate Immunity,0.987,0.0476,#NUM!,"LY96,NOS2"
Opioid Signaling Pathway,0.987,0.0243,0,"ADCY2,ADCY8,CACNA1E,FOSB,MAP2K6,RASD2"
Iron homeostasis signaling pathway,0.987,0.0292,#NUM!,"EPAS1,ERFE,GDF15,PDGFB"
Xenobiotic Metabolism PXR Signaling Pathway,0.979,0.026,2.236,"ABCC3,ALDH3A1,NOS2,PPARGC1A,SULT1A1"
Ceramide Signaling,0.975,0.0341,#NUM!,"CNKSR1,RASD2,TNFRSF1B"
Serotonin Receptor Signaling,0.971,0.0465,#NUM!,"ADCY2,ADCY8"
RAR Activation,0.967,0.0258,#NUM!,"ADCY2,ADCY8,CRABP1,PPARGC1A,RDH5"
Cardiac β-adrenergic Signaling,0.955,0.0284,1,"ADCY2,ADCY8,ADRB1,CACNA1E"
Dermatan Sulfate Biosynthesis (Late Stages),0.924,0.0435,#NUM!,"DSEL,SULT1A1"
Glycine Betaine Degradation,0.914,0.1,#NUM!,SDSL
FAK Signaling,0.9,0.0316,#NUM!,"PAK6,RASD2,TNS1"
Neuregulin Signaling,0.893,0.0312,#NUM!,"DCN,RASD2,SHC1"
α-Adrenergic Signaling,0.893,0.0312,#NUM!,"ADCY2,ADCY8,RASD2"
ATM Signaling,0.883,0.0309,#NUM!,"CDKN1A,GADD45G,H4C11"
Hematopoiesis from Pluripotent Stem Cells,0.879,0.0408,#NUM!,"CD8A,LIF"
Melanoma Signaling,0.863,0.04,#NUM!,"CDKN1A,RASD2"
Myc Mediated Apoptosis Signaling,0.863,0.04,#NUM!,"ADRB1,TNFRSF1B"
Nitric Oxide Signaling in the Cardiovascular System,0.863,0.0303,#NUM!,"ADRB1,CACNA1E,CAV1"
NAD biosynthesis II (from tryptophan),0.839,0.0833,#NUM!,TDO2
Guanosine Nucleotides Degradation III,0.839,0.0833,#NUM!,NT5E
Senescence Pathway,0.83,0.0218,0.816,"CACNA1E,CDKN1A,GADD45G,MAP2K6,RASD2,TMEM173"
Transcriptional Regulatory Network in Embryonic Stem Cells,0.81,0.037,#NUM!,"H4C11,H4C15"
Urate Biosynthesis/Inosine 5'-phosphate Degradation,0.807,0.0769,#NUM!,NT5E
NAD Phosphorylation and Dephosphorylation,0.807,0.0769,#NUM!,ACP5
Role of IL-17A in Arthritis,0.799,0.0364,#NUM!,"MAP2K6,NOS2"
Virus Entry via Endocytic Pathways,0.79,0.028,#NUM!,"CAV1,ITGB4,RASD2"
Dopamine-DARPP32 Feedback in cAMP Signaling,0.79,0.0245,#NUM!,"ADCY2,ADCY8,CACNA1E,KCNJ11"
Telomerase Signaling,0.79,0.028,#NUM!,"CDKN1A,RASD2,SHC1"
Chondroitin Sulfate Biosynthesis,0.785,0.0357,#NUM!,"SULT1A1,XYLT1"
HMGB1 Signaling,0.777,0.0242,#NUM!,"LIF,MAP2K6,RASD2,TNFRSF1B"
"Phenylalanine Degradation IV (Mammalian, via Side Chain)",0.777,0.0714,#NUM!,HPD
CXCR4 Signaling,0.764,0.024,#NUM!,"ADCY2,ADCY8,PAK6,RASD2"
iCOS-iCOSL Signaling in T Helper Cells,0.759,0.027,#NUM!,"ICOSLG/LOC102723996,INPP5D,SHC1"
Type I Diabetes Mellitus Signaling,0.759,0.027,#NUM!,"MAP2K6,NOS2,TNFRSF1B"
cAMP-mediated signaling,0.757,0.0219,1.342,"ADCY2,ADCY8,ADRB1,CNR1,HRH2"
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells,0.752,0.0268,#NUM!,"ADCY2,ADCY8,CACNA1E"
Superpathway of Citrulline Metabolism,0.75,0.0667,#NUM!,NOS2
Adenosine Nucleotides Degradation II,0.75,0.0667,#NUM!,NT5E
HIF1α Signaling,0.742,0.0265,#NUM!,"MMP16,NOS2,RASD2"
Semaphorin Signaling in Neurons,0.74,0.0333,#NUM!,"NRP1,PAK6"
Germ Cell-Sertoli Cell Junction Signaling,0.74,0.0234,#NUM!,"MAP2K6,PAK6,RASD2,TUBA4A"
Melatonin Degradation I,0.74,0.0333,#NUM!,"CYP1A1,SULT1A1"
IL-2 Signaling,0.728,0.0328,#NUM!,"RASD2,SHC1"
Apelin Endothelial Signaling Pathway,0.728,0.0261,#NUM!,"ADCY2,ADCY8,RASD2"
Parkinson's Signaling,0.726,0.0625,#NUM!,GPR37
Fc Epsilon RI Signaling,0.712,0.0256,#NUM!,"INPP5D,MAP2K6,RASD2"
Sphingosine-1-phosphate Signaling,0.712,0.0256,#NUM!,"ADCY2,ADCY8,PDGFB"
Thrombopoietin Signaling,0.708,0.0317,#NUM!,"RASD2,SHC1"
p38 MAPK Signaling,0.706,0.0254,#NUM!,"IRAK2,MAP2K6,TNFRSF1B"
"D-myo-inositol (1,4,5)-trisphosphate Degradation",0.701,0.0588,#NUM!,INPP5D
Histamine Degradation,0.701,0.0588,#NUM!,ALDH3A1
Cholecystokinin/Gastrin-mediated Signaling,0.699,0.0252,#NUM!,"MAP2K6,RASD2,SHC1"
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency,0.699,0.0252,#NUM!,"LIF,RASD2,SHC1"
NF-κB Signaling,0.693,0.0223,#NUM!,"GHR,MAP2K6,RASD2,TNFRSF1B"
Ephrin Receptor Signaling,0.688,0.0222,#NUM!,"PAK6,PDGFB,RASD2,SHC1"
PXR/RXR Activation,0.686,0.0308,#NUM!,"ABCC3,PPARGC1A"
ErbB2-ErbB3 Signaling,0.686,0.0308,#NUM!,"RASD2,SHC1"
Superpathway of Melatonin Degradation,0.686,0.0308,#NUM!,"CYP1A1,SULT1A1"
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian),0.68,0.0556,#NUM!,INPP5D
